period,data_date,airfare_index,transport_index,general_index,inflation_yoy,inflation_mom,source,source_url,cpi_code,base_year,fetched_at
2024-01,2024-01-15,100.00,99.80,100.00,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-02,2024-02-15,98.54,99.90,100.35,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-03,2024-03-15,95.12,100.05,100.68,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-04,2024-04-15,97.68,100.15,101.02,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-05,2024-05-15,99.23,100.28,101.45,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-06,2024-06-15,102.45,100.42,101.95,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-07,2024-07-15,108.30,100.55,102.40,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-08,2024-08-15,110.75,100.70,102.85,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-09,2024-09-15,103.82,100.50,103.10,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-10,2024-10-15,100.45,100.15,103.20,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-11,2024-11-15,110.20,100.25,103.55,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2024-12,2024-12-15,113.50,100.35,103.80,,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-01,2025-01-15,115.05,100.55,101.67,15.05,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-02,2025-02-15,131.66,100.74,101.32,33.61,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-03,2025-03-15,108.19,100.73,101.39,13.74,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-04,2025-04-15,110.94,100.85,101.58,13.57,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-05,2025-05-15,110.92,100.96,101.90,11.78,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-06,2025-06-15,114.48,101.09,102.51,11.74,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-07,2025-07-15,102.05,101.14,103.35,-5.77,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-08,2025-08-15,112.11,101.24,103.74,1.23,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-09,2025-09-15,105.22,101.06,103.74,1.35,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-10,2025-10-15,108.19,100.44,103.74,7.71,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-11,2025-11-15,121.45,100.53,104.01,10.21,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2025-12,2025-12-15,124.23,100.57,104.10,9.45,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-01,2026-01-15,122.71,100.64,104.45,6.66,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-02,2026-02-15,122.43,100.69,104.57,-7.01,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-03,2026-03-15,123.55,100.73,104.84,14.20,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-04,2026-04-15,123.27,100.84,105.12,11.11,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-05,2026-05-15,127.62,102.73,105.91,15.06,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-06,2026-06-15,126.09,105.45,107.00,10.14,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-07,2026-07-15,125.46,105.63,107.94,22.94,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
2026-08,2026-08-15,135.49,105.90,108.74,20.85,,MOSPI_CPI,https://esankhyiki.mospi.gov.in,07.3.3.1,2024=100,2026-09-16 03:54:38.753306
